name,playlist_name,danceability,energy,key,loudness,mode,speechiness,instrumentalness,valence,tempo,time_signature,track.album.id,track.name,track.popularity,track.album.name,track.album.release_date,key_name,mode_name,key_mode,track.duration_ms
Alma Faye Brooks,Disco,0.692,0.707,5,-6.47,0,0.0379,0,0.898,124.271,4,5PUUXwh7xQuuNw98oVA1vW,I Believed,2,Doin' It,2013-12-17,F,minor,F minor,263787
Alma Faye Brooks,Disco,0.657,0.802,2,-7.206,1,0.0681,0,0.719,120.62,4,5PUUXwh7xQuuNw98oVA1vW,It's Over,3,Doin' It,2013-12-17,D,major,D major,345522
Alma Faye Brooks,Disco,0.739,0.633,5,-7.281,1,0.0503,0,0.875,124.815,4,5PUUXwh7xQuuNw98oVA1vW,Brother Dan,0,Doin' It,2013-12-17,F,major,F major,242982
Alma Faye Brooks,Disco,0.456,0.811,2,-6.802,1,0.0637,0,0.544,91.088,4,5PUUXwh7xQuuNw98oVA1vW,Thank You,5,Doin' It,2013-12-17,D,major,D major,261558
Andrea True Connection,Disco,0.63,0.737,8,-10.217,1,0.0273,0.188,0.648,110.121,4,2yXMiLm8OaW9PyWJQEY4XY,Party Line,8,"More, More, More",2015-10-02,G#,major,G# major,406933
Andrea True Connection,Disco,0.67,0.696,7,-11.006,1,0.0362,0.768,0.696,122.654,4,2yXMiLm8OaW9PyWJQEY4XY,Keep It Up Longer,8,"More, More, More",2015-10-02,G,major,G major,273893
Andrea True Connection,Disco,0.719,0.647,9,-11.639,0,0.0298,0.0467,0.881,103.119,4,2yXMiLm8OaW9PyWJQEY4XY,"More, More, More",24,"More, More, More",2015-10-02,A,minor,A minor,376866
Andrea True Connection,Disco,0.646,0.724,0,-11.24,1,0.0307,0.285,0.946,96.631,4,2yXMiLm8OaW9PyWJQEY4XY,Fill Me Up (Heart to Heart),5,"More, More, More",2015-10-02,C,major,C major,622426
Andrea True Connection,Disco,0.617,0.741,7,-11.497,1,0.029,0.891,0.905,118.938,4,2yXMiLm8OaW9PyWJQEY4XY,Call Me,9,"More, More, More",2015-10-02,G,major,G major,445306
Andy Gibb,Disco,0.74,0.598,7,-9.658,0,0.0321,0,0.952,101.933,4,3Ru1PEQBFI88kBIWcPGGS8,Shadow Dancing,44,Shadow Dancing,1978-04-04,G,minor,G minor,276000
Andy Gibb,Disco,0.652,0.76,11,-8.283,0,0.0382,0,0.868,118.652,4,3Ru1PEQBFI88kBIWcPGGS8,Why,22,Shadow Dancing,1978-04-04,B,minor,B minor,271533
Anita Ward,Disco,0.781,0.556,5,-13.067,0,0.0611,0.0907,0.968,125.999,4,5G7Hry7SFLrdsvPu12EUyV,Ring My Bell,59,Ring My Bell,2005-09-26,F,minor,F minor,491933
Anita Ward,Disco,0.701,0.391,0,-13.06,1,0.0859,0.00255,0.868,116.664,4,5G7Hry7SFLrdsvPu12EUyV,Make Believe Lovers,15,Ring My Bell,2005-09-26,C,major,C major,424733
Anita Ward,Disco,0.81,0.611,0,-11.408,0,0.0286,0.00715,0.965,124.503,4,5G7Hry7SFLrdsvPu12EUyV,Don't Drop My Love,11,Ring My Bell,2005-09-26,C,minor,C minor,241160
Anthony White,Disco,0.813,0.665,1,-10.082,1,0.0776,0.927,0.625,128.715,4,0FnoaQncQypOhm3qPo9VME,Block Party,0,"A Collection of Rare 12"" Singles from the Salsoul Vault, Vol. 3",2004,C#,major,C# major,349333
Arcade Fire,Disco,0.548,0.865,0,-5.325,1,0.0302,4.49e-4,0.61,116.046,4,1DNojVW079FU9YnAMk3Cgr,Everything Now,64,Everything Now,2017-07-28,C,major,C major,303013
Area Code 615,Disco,0.64,0.708,4,-12.591,0,0.0894,0.835,0.63,103.864,4,7v8Ui1EkKXOkK8AcMF5BLQ,Stone Fox Chase,20,Trip In The Country,2014,E,minor,E minor,205760
Arthur Adams,Disco,0.758,0.737,11,-7.987,1,0.044,0.044,0.924,115.88,4,5ttjBpSkvIv1fF3OGTB9yV,You've Got the Floor,7,You've Got the Floor - Single,1981-07-01,B,major,B major,357457
Asha Puthli,Disco,0.67,0.438,0,-17.469,1,0.0883,0.0301,0.674,98.41,4,5mJTbtsiGKBkIqpgNTjlHW,Space Talk,4,Late Night Tales Presents After Dark,2013-05-03,C,major,C major,339320
Azoto,Disco,0.747,0.722,7,-9.061,1,0.0425,0.69,0.906,126.019,4,7Bq1EVEcBfVDP7rUQn10gk,Anytime Or Place,17,Disco Fizz (Expanded Edition),1979-08-24,G,major,G major,373782
Bab,Disco,0.708,0.723,4,-9.699,0,0.147,0.0425,0.633,108.65,4,4FW3OX9LVGMolu06HTUVhd,Party & Get on Down - Full Length Mix,2,Party & Get on Down,2017-02-10,E,minor,E minor,342706
Banbarra,Disco,0.902,0.624,9,-9.325,1,0.0604,0.713,0.961,111.547,4,4FqPQYylzMeAPqZMziIs80,Shack Up,28,We Came To Funk You Out: Disco From The United Artists Label,2009-01-09,A,major,A major,179600
Barbara Mason,Disco,0.237,0.377,5,-8.798,1,0.0287,0,0.479,173.142,3,7ujKaJ1E5N76H4y9hyhTdj,Yes. I'm Ready,50,Yes I'm Ready,1965-01-01,F,major,F major,184333
Barrabas,Disco,0.717,0.585,4,-14.466,0,0.06,0.189,0.793,118.6,4,1BBX809SQ27pjFs1uieLqu,Hi-Jack,12,Barrabas. Sus Primeras Grabaciones (1972-1975) [Remastered],2005,E,minor,E minor,343160
Barrabas,Disco,0.668,0.562,10,-14.834,0,0.0668,0.0781,0.921,109.947,4,1BBX809SQ27pjFs1uieLqu,Wild Safari,26,Barrabas. Sus Primeras Grabaciones (1972-1975) [Remastered],2005,A#,minor,A# minor,299826
